
Naive Bayes Classifier

                 Class
Attribute          CYT    NUC    MIT    ME3    ME2    ME1    EXC    VAC    POX    ERL
  TFS2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DUN1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DUR3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  EF1B_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  EF2_YEAST         1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  EGD1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ATN2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  END2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  END3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ENO1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ENO2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  EPT1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ERD1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ERD2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ERG1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  THIL_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CP51_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KIME_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ERG2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FPPS_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ER24_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ERG3_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ERG4_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ERG6_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ERG7_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  ERG8_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FDFT_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  ERS1_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  ESP1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  EST1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  EUG1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  EXG1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  LCF2_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FAD1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FAS1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FAS2_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  COAC_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ALF_YEAST         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  F16P_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  F26_YEAST         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FCY2_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  FET3_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  FET4_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  FHL1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FLO1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  FOX2_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  THIK_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  FKBP_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FKB2_YEAST        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  FKB3_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FPS1_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  FRE1_YEAST        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  YKW0_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  SYFA_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYFB_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FUMH_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FU34_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  FUR1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FUR4_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  FUS1_YEAST        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  FUS3_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  FZF1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GAC1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GAL1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GALX_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GALY_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GAL2_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  GAL4_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GAL7_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GAL8_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GAP1_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  GAR1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GAS1_YEAST        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  GBP2_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  E2BG_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IF2G_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  E2BD_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  E2BE_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  E2BB_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GCN1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GCN2_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  E2BA_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GCN4_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GCN5_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GCR1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GCR2_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GCR3_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GCS1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GCY_YEAST         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GDA1_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  DHE4_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DHE2_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GDI1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GEF1_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  GFA1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GLGB_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PP12_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HXKG_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GLNA_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GLN3_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYQ_YEAST         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GLO3_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GLS1_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  6PGD_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GOG5_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  GBA1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GPDA_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PHSG_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PMGY_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  PHO2_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYG_YEAST         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GSP1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GSP2_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  UGS1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  UGS2_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GTS1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GPDM_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HAL1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CYP1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HAP2_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HAP3_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HAP4_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HBS1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HCM1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HDF1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HEM1_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DCUP_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HEM6_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HEMZ_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HEM2_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HEM3_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HEX2_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  H4_YEAST          1.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  H3_YEAST          1.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HIP1_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  HIR1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HIR2_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HIS7_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HMD1_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  HMD2_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  MAT1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MAT2_YEAST        1.0    3.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MTA1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HO_YEAST          1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HOP1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HPR1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HXTY_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  YJ64_YEAST        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  HR25_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HS83_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HSF_YEAST         1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  CH10_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  H104_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HS26_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HS30_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  HS60_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HSP7_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HS82_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  H2A1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  H2A2_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  H2B1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  H2B2_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYH_YEAST         1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HXKA_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HXKB_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  HXT1_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  HXT2_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  HXT3_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  HXT4_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  HXT5_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  HXT6_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  HXT7_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  HXT8_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACEA_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  IDH1_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IDH2_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IPPI_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IDHP_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IF2M_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SYI_YEAST         2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  THDH_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ILVB_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ILV5_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IME1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IMP1_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IMP2_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IATP_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  INO1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  INO2_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  INO4_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IPYR_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  IRA1_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  IRA2_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  IRE1_YEAST        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  IS42_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ISP6_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ITR1_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  ITR2_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  IXR1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  YJ12_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  YJ13_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  YJ16_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ACOX_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  YJ36_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  YJ43_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  YJ49_YEAST        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  YJ51_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  YJ90_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  YJ91_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  JNM1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KAR1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  GR78_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  KAR3_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KEM1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KEX1_YEAST        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  KEX2_YEAST        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  ODO1_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ODO2_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KHR1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  KHS1_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  KIN1_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  KIN2_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  KI28_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KIP1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KIP2_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  SMI1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KRE1_YEAST        1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0
  KR11_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KRE2_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  KRE5_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  KRE6_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  KRE9_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0
  SYKC_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KSS1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  KTR1_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  KTR2_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  KTR3_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  KTR4_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  MSF1_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LAG1_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  BLH1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AMPL_YEAST        1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0    1.0
  LAS1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  ODP2_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LCB1_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  LCB2_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  LEU2_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LEU3_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LEUR_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LEU1_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LGT3_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  LIP5_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LOS1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  DLDH_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LYP1_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  LYS1_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LY14_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  LYS2_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MAC1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MAD1_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MAG_YEAST         1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MK11_YEAST        1.0    1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0
  MK16_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MAK3_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MA3T_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  MA3S_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MA3R_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MA6T_YEAST        1.0    1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0
  MA6R_YEAST        1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  AMPM_YEAST        2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MPP2_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MPP1_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  OM20_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
  MAS6_YEAST        1.0    1.0    2.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0
